candidate,id,text,createdDate,favoriteCount,retweetCount,polarity,tweetBinary
ewarren,1125539297304690688,"Any efforts to address climate change must include our public lands. That’s why on the first day of a Warren administration, I will sign  a total moratorium on all new fossil fuel leases, including for drilling offshore and on public lands. https://t.co/b0VYglvX3F",2019-05-06,5637,1456,0.07727272727272727,1
ewarren,1125501144745304069,"Our grassroots team is growing! Over half of our staff is on the ground in the early primary and caucus states, and I need your help to keep up the momentum. Chip in $5, or whatever you can, to power this grassroots campaign. https://t.co/3Q2goaUYNf",2019-05-06,751,162,0.11111111111111112,1
ewarren,1125477917138591744,Somebody’s ready for spring. https://t.co/mmV5bSW46A,2019-05-06,8556,427,0.2,1
ewarren,1125460345169039360,Ramadan Mubarak! Bruce and I send our wishes for a blessed and meaningful month for all who observe.,2019-05-06,2233,199,0.5,1
ewarren,1125450713151229952,"My 2nd grade teacher, Mrs. Lee, told me that if I worked hard, I could be a teacher, too. That changed my world, and I’m still grateful. Thank you to our teachers across the country who fight every day so that our kids have the opportunity to succeed. #TeacherAppreciationWeek",2019-05-06,11694,1648,-0.14583333333333334,1
ewarren,1125407515687231488,"Last week, I re-introduced legislation that would provide Puerto Rico with a path to comprehensive debt relief. We won’t stop fighting until the people of Puerto Rico get the respect they deserve. Add your name here to say you’re with me on this: https://t.co/50xiJCClT5",2019-05-06,3925,884,0.0,1
ewarren,1125170798262726660,I heard you loud and clear! Baby onesies are available on our online store (perfect for your pint-sized persisters). https://t.co/TowFGRDGCN https://t.co/Nwk0AIN6WC,2019-05-05,3597,517,0.40625,1
AndrewYang,1125805147601416193,"From the @nytimes Who is Andrew Yang, the Internet’s Favorite Candidate? | 2020 Presidenti... https://t.co/95kYNh4qSE",2019-05-07,415,96,0.5,1
AndrewYang,1125783830839930881,It’s pretty clear what this campaign stands for - we have laid out our policy agenda for all to see.  https://t.co/QYl6qlpx70,2019-05-07,484,134,0.17500000000000002,1
AndrewYang,1125775372354818049,Fighting for what you believe in often connects you with amazing people.  Thank you.,2019-05-07,1099,128,0.6000000000000001,1
AndrewYang,1125658298500505600,"Our Humanity First rallies are a phenomenon. And we are having our BIGGEST RALLY YET on May 14th in New York City right in Washington Square Park at 6:00 p.m.

Thousands will be there - join us for an epic rally for the future. RSVP NOW.  #YangGang https://t.co/QhoGRHpHwP https://t.co/qTYudcVhYG",2019-05-07,856,203,0.1544155844155844,1
AndrewYang,1125547674982334465,"The five most common jobs in the economy:

1. Administrative and Clerical Work
2. Retail Work
3. Food Service and Food Prep
4. Trucking Driving and Transportation
5. Manufacturing

This is about half of all jobs many of which will be hit hard by automation. We are not prepared. https://t.co/tBKhlrm9L4",2019-05-06,2611,880,0.048333333333333325,1
AndrewYang,1125531328777281536,Vi in Minneapolis said it best: “I didn’t think I deserved a thousand bucks a month.  Then I realized of course I did.  Now spreading the word has made me feel energized.”  👍🇺🇸,2019-05-06,1133,161,1.0,1
AndrewYang,1125501747626225670,"It's time to give America updates with the right facts - our health, mental health and prosperity - so we can see how we are doing and improve. https://t.co/o9wGfUqi7K",2019-05-06,1475,243,0.09285714285714285,1
AndrewYang,1125479785180868609,Howard Schultz: “Even Westeros needs a Starbucks.”,2019-05-06,1057,100,0.0,1
AndrewYang,1125476407881216003,Americans pay way too much for Prescription Drugs.  We can lower the prices in a hurry if we allow Medicare to negotiate for lower prices and set rules to prevent excessive profiteering.  https://t.co/01OtInbe7t,2019-05-06,767,143,-0.024999999999999994,1
AndrewYang,1125475254267203584,"Every time someone donates it is awesome. Today it is Jennifer Thompson from Georgia, Candice Lupo from Oklahoma and John Palmer from Illinois.  Thank you for your support and enthusiasm.  😀👍🇺🇸",2019-05-06,897,80,1.0,1
